Date,Open,High,Low,Close,Volume
5/31/15,17859.27,18351.36,17733.12,18010.68,1832309213
6/30/15,18017.82,18188.81,17576.5,17619.51,2219116304
7/31/15,17638.12,18137.12,17399.17,17689.86,2034088475
8/31/15,17696.74,17704.76,15370.33,16528.03,2726304703
9/30/15,16528.03,16933.43,15942.37,16284.7,2723820869
10/31/15,16278.62,17799.96,16013.66,17663.54,2605687461
11/30/15,17672.62,17977.85,17210.43,17719.92,2334861612
12/31/15,17719.72,17901.58,17116.73,17425.03,2521879871
1/31/16,17405.48,17405.48,15450.56,16466.3,2844197494
2/29/16,16453.63,16795.98,15503.01,16516.5,2491661143
3/31/16,16545.67,17790.11,16545.67,17685.09,2407816982
4/30/16,17661.74,18167.63,17484.23,17773.64,2096328747
5/31/16,17783.78,17934.61,17331.07,17787.2,1879054637
6/30/16,17754.55,18016,17063.08,17929.99,2350016766
7/31/16,17924.24,18622.01,17713.45,18432.24,1816663018
8/31/16,18434.5,18668.44,18247.79,18400.88,1695735389
9/30/16,18396.57,18551.54,17992.21,18308.15,2101306923
10/31/16,18279.6,18399.96,17959.95,18142.42,1793666835
11/30/16,18158.24,19225.29,17883.56,19123.58,2107700671
12/31/16,19149.2,19987.63,19138.79,19762.6,5952507426
1/31/17,19872.86,20125.58,19677.94,19864.09,6482691463
2/28/17,19923.81,20851.33,19831.09,20812.24,6185383273
3/31/17,20957.29,21169.11,20412.8,20663.22,6942035108
4/30/17,20665.17,21070.9,20379.55,20940.51,5392201255
5/31/17,20962.73,21112.32,20553.45,21008.65,6613308882
6/30/17,21030.55,21535.03,20994.22,21349.63,7214882468
7/31/17,21392.3,21929.8,21279.3,21891.12,5569514537
8/31/17,21961.42,22179.11,21600.34,21948.1,6150479176
9/30/17,21981.77,22419.51,21709.63,22405.09,6341940955
10/31/17,22423.47,23485.25,22416,23377.24,7302959733
11/30/17,23442.9,24327.82,23242.75,24272.35,7335703657
12/31/17,24305.4,24876.07,23921.9,24719.22,6590368516
1/31/18,24809.35,26616.71,24741.7,26149.39,9117126283
2/28/18,26083.04,26306.7,23360.29,25029.2,9450180054
3/31/18,25024.04,25449.15,23509.06,24103.11,8873069419
4/30/18,24076.6,24858.97,23344.52,24163.15,8064508838
5/31/18,24117.29,25086.49,23531.31,24415.84,7278276865
6/30/18,24542.09,25402.83,23997.21,24271.41,7411592082
7/31/18,24161.53,25587.24,24077.56,25415.19,5408108334
8/31/18,25461.63,26167.94,24965.77,25964.82,5635841471
9/30/18,25916.07,26769.16,25754.32,26458.31,5262401382
10/31/18,26598.36,26951.81,24122.23,25115.76,8373022849
11/30/18,25142.08,26277.82,24268.74,25538.46,7227061516
12/31/18,25779.57,25980.21,21712.53,23327.46,8101606648
1/31/19,23058.61,25109.62,22638.41,24999.67,7188517750
2/28/19,25025.31,26241.42,24883.04,25916,5434270409
3/31/19,26019.67,26155.98,25208,25928.68,6733746763
4/30/19,26075.1,26695.96,26062.59,26592.91,5854771710
5/31/19,26639.06,26689.39,24809.51,24815.04,6358179063
6/30/19,24830.16,26907.37,24680.57,26599.96,5544402249
7/31/19,26805.86,27398.68,26616.21,26864.27,5207435889
8/31/19,26879.86,27175.59,25339.6,26403.28,8171860345
9/30/19,26198.26,27306.73,25978.22,26916.83,5045377658
10/31/19,26962.54,27204.36,25743.46,27046.23,5661254779
11/30/19,27142.95,28174.97,27142.95,28051.41,4925331913
12/31/19,28109.74,28701.66,27325.13,28538.44,5081563145
1/31/20,28638.97,29373.62,28169.53,28256.03,6170586773
2/29/20,28319.65,29568.57,24681.01,25409.36,6991756038
3/31/20,25590.51,27102.34,18213.65,21917.16,15521412270
4/30/20,21227.38,24764.77,20735.02,24345.72,9795505862
5/31/20,24120.78,25758.79,22789.62,25383.11,7803019742
6/30/20,25342.99,27580.21,24843.18,25812.88,9780430980
7/31/20,25879.38,27071.33,25523.51,26428.32,8309955277
8/31/20,26542.32,28733.35,26534.38,28430.05,7578794030
9/30/20,28439.61,29199.35,26537.01,27781.7,11075015810
10/31/20,27940.63,28957.9,26143.77,26501.6,9685912322
11/30/20,26691.28,30116.51,26691.28,29638.64,9628608626
12/31/20,29797.5,30637.47,29599.29,30606.48,9698038696
1/31/21,30627.47,31272.22,29856.3,29982.62,9455178658
2/28/21,30054.73,32009.64,30014.97,30919.5,7718381908
3/31/21,31065.9,31668.34,30547.53,31493.44,2385358289
