Date,Open,High,Low,Close,Volume
5/31/15,4966.32,5111.54,4888.19,5071.31,33474922200
6/30/15,5094.94,5164.32,4956.23,4986.87,38445102600
7/31/15,5029.05,5231.84,4901.71,5129.26,37789080600
8/31/15,5134.34,5175.13,4293.79,4776.51,40369719000
9/30/15,4673.61,4960.76,4487.35,4620.16,38598645600
10/31/15,4624.46,5095.69,4552.38,5053.75,39383863200
11/30/15,5065.64,5163.41,4908.98,5108.67,34256419800
12/31/15,5129.64,5176.63,4871.63,5007.41,37774684200
1/31/16,4897.65,4926.64,4313.46,4613.95,41735730900
2/29/16,4587.59,4636.87,4209.81,4557.95,40091044500
3/31/16,4596.01,4899.02,4583.6,4869.85,37887158400
4/30/16,4842.55,4969.32,4741.27,4775.36,35353299000
5/31/16,4786.55,4951.36,4678.38,4948.05,36087013200
6/30/16,4928.97,4980.14,4574.25,4842.67,41118927000
7/31/16,4837.18,5175.81,4786.01,5162.13,33526537200
8/31/16,5167.42,5275.67,5109.8,5213.22,36041945400
9/30/16,5218.28,5342.86,5098.03,5312,37250778000
10/31/16,5300.29,5340.51,5169.81,5189.13,32219710500
11/30/16,5199.77,5403.79,5034.41,5323.68,38939769600
12/31/16,5323.88,5512.29,5238.27,5383.12,35860111800
1/31/17,5425.62,5669.49,5397.99,5614.79,33506012100
2/28/17,5654.51,5867.89,5616.42,5825.44,34139890800
3/31/17,5874.86,5928.06,5769.39,5911.74,40862079600
4/30/17,5917.32,6074.04,5805.15,6047.61,31427676000
5/31/17,6067.56,6221.98,5996.82,6198.52,39325412700
6/30/17,6215.91,6341.7,6087.81,6140.42,45281616300
7/31/17,6173.29,6460.84,6081.96,6348.12,33538701600
8/31/17,6372.16,6435.27,6177.19,6428.66,38350224000
9/30/17,6442.17,6497.98,6334.59,6495.96,35504721600
10/31/17,6506.08,6737.75,6484.14,6727.67,38521874100
11/30/17,6758.64,6914.19,6667.31,6873.97,38939453400
12/31/17,6844.04,7003.89,6734.13,6903.39,35873048100
1/31/18,6937.66,7505.77,6924.08,7411.48,41297477700
2/28/18,7377.17,7441.09,6630.67,7273.01,40726532100
3/31/18,7274.75,7637.27,6901.07,7063.45,44970270900
4/30/18,7016.17,7319.58,6805.96,7066.27,39926936700
5/31/18,7053.65,7492.42,6991.14,7442.12,42226854600
6/30/18,7487.66,7806.6,7419.56,7510.3,44924542800
7/31/18,7451.9,7933.31,7443.1,7671.79,35970995700
8/31/18,7701.82,8133.3,7659.52,8109.54,42687818400
9/30/18,8087.95,8104.07,7873.93,8046.35,41427584700
10/31/18,8091.5,8107.38,6922.83,7305.9,57102892800
11/30/18,7327.82,7572.93,6830.76,7330.54,45161404500
12/31/18,7486.13,7486.51,6190.16,6635.28,45391756200
1/31/19,6506.91,7303.12,6457.13,7281.74,45755107200
2/28/19,7256.37,7602.7,7225.14,7532.53,39343222200
3/31/19,7587.45,7850.11,7332.92,7729.32,45705352200
4/30/19,7800.23,8176.08,7777.09,8095.39,40141404000
5/31/19,8132.93,8164.72,7448.23,7453.15,44086743000
6/30/19,7441.22,8088.88,7292.22,8006.244,41390031300
7/31/19,8145.85,8339.64,8059.29,8175.42,39086374800
8/31/19,8190.56,8311.04,7662.91,7962.88,42864230100
9/30/19,7906.44,8243.8,7847.32,7999.338,38560264500
10/31/19,8026.83,8335.57,7700,8292.36,40898014800
11/30/19,8335.05,8705.91,8326.56,8665.471,38671250700
12/31/19,8672.85,9052,8435.4,8972.604,42725018400
1/31/20,9039.46,9451.43,8943.5,9150.936,48784405500
2/29/20,9190.72,9838.371,8264.159,8567.367,49288716600
3/31/20,8667.145,9070.322,6631.422,7700.098,90092857200
4/30/20,7459.5,8957.266,7288.113,8889.551,73188340200
5/31/20,8681.291,9523.645,8537.828,9489.872,74759139013
6/30/20,9471.418,10221.848,9403.004,10058.77,1.03709E+11
7/31/20,10063.672,10839.93,10048.04,10745.27,87128793766
8/31/20,10848.637,11829.844,10762.711,11775.46,72377718616
9/30/20,11850.965,12074.066,10519.492,11167.51,73498342863
10/31/20,11291.992,11965.539,10822.57,10911.591,69383817918
11/30/20,11010.449,12244.645,10830.945,12198.738,78859238986
12/31/20,12313.363,12973.332,12214.738,12888.282,96993684112
1/31/21,12958.523,13728.984,12543.242,13070.69,1.16803E+11
2/28/21,13226.18,14175.117,13003.98,13192.346,1.13621E+11
3/31/21,13406.164,13601.332,12407.24,12920.147,23440553422
